Symbol,Weight
MRK,4.77
AMGN,4.56
CSCO,4.54
BMY,4.35
ABBV,4.20
KO,4.07
PEP,4.01
COP,3.89
LMT,3.87
CVX,3.73
VZ,3.69
TXN,3.59
MO,3.50
HD,3.47
UPS,3.01
SLB,2.28
EOG,2.25
F,2.09
VLO,2.02
FAST,1.95
OKE,1.81
TGT,1.80
PAYX,1.49
KMB,1.35
FITB,1.27
ADM,1.12
HSY,1.12
CINF,1.05
GIS,1.04
RF,0.98
HAL,0.94
TROW,0.91
DRI,0.91
CTRA,0.78
AMCR,0.77
PKG,0.73
SNA,0.72
EWBC,0.64
FNF,0.57
BBY,0.57
CF,0.51
UNM,0.50
WSO,0.49
CMA,0.45
LYB,0.44
SWKS,0.38
AFG,0.38
OVV,0.38
COLB,0.35
APA,0.34
ALV,0.34
DINO,0.30
NXST,0.23
MTN,0.23
JHG,0.23
MC,0.21
OZK,0.20
RDN,0.20
WHR,0.17
MUR,0.17
MSM,0.16
FHI,0.16
IBOC,0.16
CATY,0.14
SIG,0.14
WU,0.12
APAM,0.12
RHI,0.11
CVBF,0.10
BANR,0.09
FLO,0.09
OFG,0.08
NWBI,0.07
FCF,0.07
CHCO,0.07
CNS,0.07
FMC,0.07
BKE,0.07
HUN,0.07
STBA,0.06
GABC,0.06
IPAR,0.06
LKFN,0.06
NSP,0.06
WEN,0.05
SRCE,0.05
CRI,0.05
PFBC,0.05
CWENA,0.04
CNA,0.04
VRTS,0.04
CPF,0.04
THFF,0.03
AMSF,0.03
ETD,0.02
KFRC,0.02
OXM,0.02
FG,0.02
